"LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave"
"Boston","East Midlands",0.113236459709379,0.231651254953765,0.254900924702774,0.400211360634082,0.437965804471723,0.164793834652392,0.0234200143058215,0.337917349269711,0.018459124576017,0.7556
"Bournemouth, Christchurch & Poole","South West",0.209072009690779,0.35194552210709,0.20010149126684,0.238880976935291,0.487929410338853,0.170785628649477,0.0814579544465251,0.173929306951546,0.07348101182244,0.5488
"Bracknell Forest","South East",0.291838800580011,0.342398292796367,0.198052036879976,0.167710869743646,0.575580462082814,0.16052925091381,0.0776464778112816,0.143578783822396,0.0403262280824274,0.5394
"Bradford","Yorkshire and The Humber",0.167752887917577,0.290411333125195,0.205725101467374,0.336110677489853,0.309438667159905,0.410917926023356,0.0811331698338974,0.120756664428825,0.0343303145308982,0.5423
"Braintree","East",0.20957011824511,0.323704276715659,0.250679633108631,0.2160459719306,0.550935538845372,0.175768753906491,0.0535279173593873,0.178666706096475,0.0352518935248234,0.6113
"Breckland","East",0.159917096184788,0.285718181570264,0.277100548146936,0.277264174098012,0.516585576611549,0.179439200039555,0.0560546216622723,0.206166190409274,0.0417544112773486,0.6422
"Brent","London",0.219736652676109,0.302317855125749,0.185494855978472,0.29245063621967,0.295639862668726,0.559361740896005,0.0644665754830363,0.0374134337794895,0.0362003139675975,0.4026
"Brentwood","East",0.321805419978618,0.361920699112165,0.172221447496862,0.144052433412355,0.588357708538066,0.125093936065669,0.0881939225774129,0.168102202439447,0.0269187043567066,0.5915
"Bridgend","Wales",0.164790881777863,0.282297677523964,0.237016548237875,0.315894892460299,0.259624424289673,0.431485622571446,0.0374200473642695,0.151331073899619,0.0197026816038314,0.5464
"Brighton & Hove","South East",0.285726129898125,0.374366521229959,0.150822356489206,0.189084992382709,0.334795236648775,0.357154350242247,0.0312983200458884,0.0663341970485577,0.204033567430382,0.3138
"Bristol, City of","South West",0.256981192111616,0.321726258413054,0.175946101115746,0.245346448359584,0.277194266888182,0.367827743830898,0.105229071044406,0.104947484019936,0.140169327664048,0.3827
"Broadland","East",0.213796395081139,0.331208939300354,0.259503621764276,0.195491043854231,0.481591207045898,0.238345910809005,0.0789200851158574,0.156971900275536,0.0431287526974525,0.5437
"Bromley","London",0.308024858146447,0.367187662378151,0.162804231704529,0.161983247770873,0.519807438420922,0.229477454852234,0.0684944731373569,0.136525390311628,0.0441374176207555,0.4935
"Bromsgrove","West Midlands",0.306901002125721,0.323868812632858,0.20657455208017,0.162655633161251,0.538482151402048,0.222107378696526,0.0500717772035602,0.156244616709733,0.0330940759881328,0.5537
"Broxbourne","East",0.181990107652022,0.332157404713413,0.248254291533314,0.237598196101251,0.560511906831219,0.184034416826004,0.0318746740830871,0.197158004519381,0.0264209977403094,0.6626
"Broxtowe","East Midlands",0.259327801325294,0.308877081965256,0.20810697868784,0.223688138021611,0.426660249577646,0.376212234808857,0.0518155831854199,0.118242450014241,NA,0.5465
"Burnley","North West",0.127490039840637,0.262201195219123,0.237051792828685,0.373256972111554,0.135208574447743,0.376163639108338,0.294545363055402,0.172696623559603,0.0213857998289136,0.6661
"Bury","North West",0.213032753186241,0.32496231327943,0.199105796902837,0.262899136631492,0.382065011628536,0.431218562388447,0.0283628103196495,0.128660284493483,0.0278543999134621,0.5412
"Caerphilly","Wales",0.142639472766325,0.278853744056689,0.238888990876214,0.339617792300773,0.154188571216924,0.471379157662818,0.0263088365271196,0.193857274722441,0.0208603990412103,0.5763
"Calderdale","Yorkshire and The Humber",0.207494440771681,0.302842718913396,0.219529418835267,0.270133421479656,0.415565194153802,0.37446296791169,0.0441445515653586,0.118928197011121,0.0332189035295085,0.5568
"Cambridge","East",0.417418882654306,0.281776042937302,0.121086443848093,0.179718630560299,0.18841771474205,0.343741389026578,0.331040084734801,0.055650645881454,0.0778608307412124,0.2615
"Camden","London",0.39253967660296,0.346274201792772,0.083691762975153,0.177494358629116,0.300030314870095,0.495461033662222,0.0613879809269062,0.0413465188445505,0.0945267357818675,0.2506
"Cannock Chase","West Midlands",0.145157033518079,0.278701504354711,0.284738717339667,0.291402744787543,0.441856515000318,0.337332002802607,0.0269644790759889,0.174610925921994,0.0192360771990913,0.6886
"Canterbury","South East",0.246842628068682,0.348659003831418,0.200321649874651,0.20417671822525,0.44601565214598,0.226462998655447,0.0933131844515865,0.170638970186763,0.0605386804456761,0.5104
"Cardiff","Wales",0.24992183521971,0.348882913625685,0.151318081523633,0.249877169630973,0.283583849267439,0.401993978016248,0.0968016051771799,0.095639920499146,0.0399369176824784,0.3998
"Carlisle","North West",0.156562616447387,0.273683607074268,0.250695101327142,0.319058675151202,0.476025827642915,0.327812876893473,0.0383220357228419,0.123475522050178,0.032038879043099,0.6014
"Carmarthenshire","Wales",0.16545810420356,0.277099450088545,0.260919004567061,0.296523441140833,0.22271460951035,0.319951698720161,0.0219370316115805,0.132905411085527,0.0244111870576797,0.5375
"Castle Point","East",0.165121981630024,0.337849632184863,0.274884668135156,0.222143718049956,0.508514851485149,0.138239823982398,0.0176237623762376,0.311947194719472,0.0236743674367437,0.727
"Central Bedfordshire","East",0.260539682945865,0.329797714855995,0.229601955039216,0.180060647158924,0.558748404843051,0.181671782207083,0.0612008190399009,0.151784632017408,0.041786914025154,0.5613
"Ceredigion","Wales",0.195769705017547,0.319880489424263,0.261121123020013,0.223228682538177,0.110193500106906,0.0966164207825529,0.358509728458414,0.102335899080607,0.0558050032071841,0.4537
"Charnwood","East Midlands",0.241464864975702,0.321884803871312,0.225983719165864,0.210666611987123,0.515224526738274,0.277142727615987,0.0526497123643939,0.13041632794561,NA,0.5381
"Chelmsford","East",0.289668866436956,0.348653857384804,0.190951741322588,0.170725534855652,0.54571550557232,0.153700566234872,0.0986533036877682,0.142661182368425,0.0345698145748873,0.5283
"Cheltenham","South West",0.291847297758861,0.343632589790074,0.161319986337721,0.203200126113344,0.469642395693414,0.080099943781973,0.320061304270651,0.076599539884319,0.0490359215469596,0.4383
"Cherwell","South East",0.254604019326378,0.309945615386411,0.21765515953598,0.217795205751231,0.522131630472201,0.196916945707838,0.0942401945433374,0.127596129443938,0.0469331208179392,0.5031
"Cheshire East","North West",0.29747729028477,0.299848157915768,0.189633891863573,0.213040659935889,0.517442096903051,0.252768304264681,0.0699892597766082,0.129144507940501,NA,0.5118
"Cheshire West & Chester","North West",0.257822873109926,0.294702839816888,0.197746774736926,0.24972751233626,0.435481575242688,0.383154736236201,0.0543623380591213,0.104224412305218,NA,0.5068
"Chesterfield","East Midlands",0.165711076959451,0.286676912164558,0.23684832722544,0.31076368365055,0.200614452294064,0.471275397724747,0.127945561949921,0.164460684299002,0.0288582652303587,0.6004
"Chichester","South East",0.287987371744278,0.314885556432518,0.211049723756906,0.186077348066298,0.579373841423001,0.1205373489482,0.0840157704503353,0.149026609699882,0.065349517921726,0.5092
"Chiltern","South East",0.409880521930514,0.309817638736048,0.156225436252162,0.124076403081277,0.590506533158863,0.127287553810851,0.0902884451271548,0.136883427206008,0.0550340406971231,0.4498
"Chorley","North West",0.242109384411517,0.307523189977111,0.224129622936996,0.226237802674377,0.374905417747129,0.4395575151872,0.0282332248922041,0.135906782000312,NA,0.5683
"Christchurch","South West",0.238342824131386,0.316167368160436,0.235619377733762,0.209870429974416,0.581145512704448,0.0954593920373388,0.0656446778119782,0.214517070030378,0.0432333474158569,0.5883
"City of London","London",0.609545073960368,0.280770304214346,0.049399944180854,0.060284677644432,0.540831836396297,0.27356639491502,0.069669752659942,0.052342130717148,0.0539726405969324,0.2471
"Colchester","East",0.233656512272736,0.347786441371867,0.204849545006234,0.213707501349164,0.450400135602081,0.169858481388874,0.189168909256197,0.14081166882044,0.0481654815959228,0.536
"Conwy","Wales",0.18294649104128,0.292276336202963,0.243208712317099,0.281568460438658,0.423986056137295,0.269173518003552,0.041305584631353,0.123083761695108,NA,0.5398
"Copeland","North West",0.176055688733174,0.254748294302047,0.251106398672322,0.318089618292458,0.357952108198128,0.422648936438646,0.0345184325401832,0.155131084252227,0.0297494385708158,0.62
"Corby","East Midlands",0.117220975311161,0.236584370536625,0.230157110793716,0.416037543358498,0.427653362765692,0.38471534873785,0.025955068181009,0.137216505856802,0.0244597144586463,0.6425
"Cornwall","South West",0.183326786484729,0.28653946461804,0.272250162597961,0.25788358629927,0.431223012979522,0.123021768079967,0.223613836031509,0.13841558864799,0.0584592468870113,0.5652
"Cotswold","South West",0.303942771585427,0.297704208950258,0.222508733987689,0.175844285476626,0.565496673548979,0.0924700442938571,0.18649302062929,0.109199357650837,0.046340903877036,0.489
"County Durham","North East",0.162657211750048,0.283858250633806,0.229942910982043,0.323541626634103,0.235885888016925,0.495396711238288,0.0629081200829995,0.160762644782193,0.0374006172015375,0.5755
"Coventry","West Midlands",0.166398853692237,0.316032956348191,0.196550841819764,0.321017348139809,0.297943221320973,0.450189058974203,0.0426602427273282,0.145514423370129,0.0375449777398305,0.556
"Craven","Yorkshire and The Humber",0.266536251375474,0.285364959041448,0.256938501039247,0.191160288543832,0.554408988434539,0.173885151853956,0.0743598672996206,0.140233508678678,0.0571124837332063,0.5283
"Crawley","South East",0.176987744952934,0.338582677165354,0.230004144218815,0.254425433662897,0.470216271884655,0.335798146240989,0.0275798146240989,0.143748712667353,0.0226570545829042,0.5841
"Croydon","London",0.240792150912163,0.359269924474946,0.178406386867607,0.221531537745284,0.404141921729861,0.428865539820314,0.0397076290543627,0.083916552459266,0.0372955687528552,0.4571
"Dacorum","East",0.291638766126512,0.329851345922057,0.193830632561046,0.184679255390384,0.541591133429348,0.214577090067197,0.0654686665372024,0.136355140448942,0.0371221104702271,0.5067
"Darlington","North East",0.181958432788031,0.303283460441288,0.21977062350818,0.294987483262502,0.34478215010231,0.434167580292162,0.0462210669782293,0.135470195949279,0.0346230282854367,0.5618
"Dartford","South East",0.190630515000802,0.346895555912081,0.242098507941601,0.220375421145516,0.489717272692587,0.254206570262124,0.0277385630890152,0.199053760158724,0.0252584989888969,0.6422
