"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"136","Norwich","East",0.205243638390465,0.311552725791584,0.18234827534461,0.300855360473342,0.297568533293539,0.374713045671364,0.107504267674116,0.107209085591438,0.109845355312384,0.4376,"LAB HOLD",0,0,27,0,0,0,27,0,0,0,-4,0,9,9,4,3,3,0,0,0,0,0,0,0,0,0,0
"137","Nottingham","East Midlands",0.14973050877574,0.31939152237863,0.176936289510572,0.353941679335058,0.24994518361297,0.519115570485103,0.0338019768981819,0.131059403422297,0.0605699150126736,0.5084,"LAB HOLD",3,2,50,0,3,2,50,0,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","Oadby & Wigston","East Midlands",0.239067656765677,0.324257425742574,0.218853135313531,0.217821782178218,0.527434201749538,0.153284671532847,0.134112176249738,0.143679365744888,0.0414895847229898,0.5458,"LD HOLD",0,2,0,0,0,2,0,0,0,-4,-1,0,0,0,0,24,24,5,0,0,0,0,0,0,0,0,0
"139","Oldham","North West",0.144843036021601,0.277668981069373,0.226351551836686,0.35113643107234,0.224648028872307,0.472310643896868,0.0779455719693313,0.200842398120929,0.024253357140565,0.6086,"LAB HOLD",1,1,15,0,3,4,45,0,1,0,-1,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0
"140","Pendle","North West",0.149132614419158,0.248927038626609,0.251054928409132,0.3508854185451,0.47196724262059,0.349284557235421,0.0334548236141109,0.121827753779698,0.02346562275018,0.6315,"CON LOSE TO NOC",0,8,4,0,0,23,16,0,0,0,-1,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0
"141","Peterborough","East",0.171641661003363,0.290867269590674,0.207486015996654,0.330005053409309,0.448903348890698,0.284013100451216,0.0455088705304042,0.176027288282159,0.0297185005575995,0.6089,"CON LOSE TO NOC",1,7,7,0,3,28,17,0,0,-4,3,-1,1,2,1,4,9,2,0,0,0,0,1,-1,0,0,0
"142","Plymouth","South West",0.158073959749629,0.330209826186014,0.2292531755656,0.282463038498757,0.424921526546232,0.310751439020418,0.0459553378503186,0.167664754252675,0.0485819334545862,0.5994,"LAB HOLD",0,9,10,0,1,25,31,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Portsmouth","South East",0.189043279497128,0.34697284128846,0.198066107251346,0.265917771963067,0.41157939353671,0.217543216523662,0.139438442945024,0.163300608296198,0.052638814108806,0.5808,"NOC NO CHANGE",0,7,2,0,2,16,6,0,0,-3,1,0,0,0,0,6,18,2,0,0,0,0,0,0,0,0,0
"144","Preston","North West",0.186548109657767,0.312399211610822,0.196940512452965,0.304112166278445,0.340336719014173,0.422786870524925,0.0436257260021315,0.14398721677586,0.0424957254256591,0.5331,"LAB HOLD",0,9,30,0,0,9,30,0,0,-7,4,0,0,0,0,9,9,3,0,0,0,0,0,0,0,0,0
"145","Reading","South East",0.313424055845327,0.299658810149418,0.171947919526256,0.214969214478999,0.467567778643092,0.334681653251232,0.0622683136613546,0.0847382667078339,0.0478934402798675,0.4197,"LAB HOLD",0,4,9,0,0,10,30,0,0,-2,0,0,2,4,1,1,2,1,0,0,0,0,0,0,0,0,0
"146","Redcar & Cleveland","North East",0.133172202546186,0.26332918541208,0.250981142911841,0.352517469129894,0.238643499902963,0.43181855669935,0.129418104653363,0.171975664467398,0.0221307550988413,0.6619,"NOC NO CHANGE",18,11,15,2,18,11,15,2,9,0,-13,2,0,0,0,13,13,2,0,0,0,0,0,0,0,0,0
"147","Redditch","West Midlands",0.178478374153205,0.289845901883421,0.244547011092087,0.287128712871287,0.471019093836455,0.311057190802304,0.030590956505964,0.16175336749966,0.0217696947707379,0.6229,"CON HOLD",0,9,1,0,0,18,11,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Reigate & Banstead","South East",0.32605680075929,0.349735951911611,0.182594728772724,0.141612518556375,0.570514748821171,0.129515916565237,0.100596737034128,0.138106017717017,0.0587174440889205,0.5049,"CON HOLD",1,29,0,0,1,29,0,0,1,-6,0,0,6,6,3,3,3,2,6,6,0,0,0,0,0,0,0
"149","Ribble Valley","North West",0.293421132121066,0.293300308101251,0.235908898689059,0.177369661088624,0.48626610263576,0.225829297704956,0.0527534789349769,0.157915893038302,0.0419769155676359,0.5639,"CON HOLD",2,28,0,0,2,28,0,0,2,-7,-1,0,0,0,0,10,10,6,0,0,0,0,0,0,0,0,0
"150","Richmondshire","Yorkshire and The Humber",0.218181818181818,0.347126436781609,0.241727621037966,0.192964123998607,0.513787292357266,0.131928369043871,0.064167854960277,0.151743550806496,0.0428341265578992,0.5678,"CON LOSE TO NOC",10,10,0,0,10,10,0,0,2,-5,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,0,0
"151","Rochdale","North West",0.144251854967106,0.278109886148578,0.222115413499955,0.355522845384361,0.181019070321812,0.44575813042738,0.0667674101821897,0.256959816107611,0.0265196662693683,0.6007,"LAB HOLD",0,3,16,0,0,9,47,0,0,-1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
"152","Rochford","East",0.230375953105029,0.375291991714046,0.236502269822381,0.157829785358544,0.53404806855813,0.144341463096748,0.030929776573582,0.220135401383974,0.0320106261478924,0.6661,"CON HOLD",1,8,0,0,3,26,0,0,1,1,0,-2,1,3,0,1,3,0,2,4,0,0,0,0,0,0,0
"153","Rossendale","North West",0.201726631712168,0.294747785210631,0.240643644910504,0.262881938166697,0.442715151951737,0.361922585340594,0.0170096531002699,0.151616738551464,0.0221012374946589,0.6068,"LAB HOLD",2,5,5,0,4,13,19,0,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Rother","South East",0.22369456292186,0.323118969729595,0.240424034121496,0.212762433227049,0.527938072225931,0.181874364876951,0.0674579274398967,0.174319527938412,0.0484101075188092,0.5853,"CON LOSE TO NOC",13,14,3,0,13,14,3,0,9,-18,2,0,1,1,1,7,7,6,0,0,0,0,0,0,0,0,0
"155","Rugby","West Midlands",0.251781936533767,0.284654190398698,0.212074857607811,0.251489015459723,0.500575519445351,0.26584759096775,0.0613916044436096,0.13688247274569,0.0300822740333465,0.567,"CON HOLD",0,8,3,0,0,24,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
"156","Runnymede","South East",0.291547878584605,0.367348650008385,0.190801609927889,0.150301861479121,0.59739870534644,0.155178614241189,0.0671701430512267,0.138875569407816,0.0413769679533285,0.5426,"CON HOLD",9,26,2,0,9,26,2,0,3,-8,1,0,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0
"157","Rushcliffe","East Midlands",0.39189065223374,0.317830168486072,0.151209369171024,0.139069810109164,0.521639631796697,0.257058756910977,0.0497925577992891,0.109441371808077,0.0604174693472549,0.4245,"CON HOLD",3,29,7,0,3,29,7,0,1,-5,3,0,2,2,0,3,3,1,0,0,0,0,0,0,0,0,0
"158","Rushmoor","South East",0.225269242679696,0.339572652513505,0.233768021195334,0.201390083611465,0.505921066874499,0.183325756099673,0.0882422982832153,0.178671169708385,0.0438397090342274,0.5821,"CON HOLD",0,9,3,0,0,26,11,0,0,0,0,-1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
"159","Rutland","East Midlands",0.318971577784473,0.310836597368685,0.196946871547655,0.173244953299186,0.556434628133985,0.153526363020347,0.080709851107082,0.15892899657528,0.0425800780176913,0.5057,"CON HOLD",8,15,0,0,8,15,0,0,0,-2,0,0,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0
"160","Ryedale","Yorkshire and The Humber",0.214574067738625,0.262606910708177,0.287444406431748,0.235374615121451,0.526019287692161,0.15447340781056,0.08981189725962,0.149049937935644,0.0459085266876731,0.5526,"NOC NO CHANGE",11,12,0,0,11,12,0,0,6,-8,0,0,0,0,0,2,2,0,0,0,0,5,5,2,0,0,0
"161","Salford","North West",0.167936456475928,0.326707981595321,0.189907353142886,0.315448208785865,0.242171411254428,0.482718523435212,0.0310325195496256,0.180011183215702,0.041066119611847,0.5681,"LAB HOLD",1,3,15,0,1,8,50,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Sandwell","West Midlands",0.112780619888362,0.266232397101417,0.248343746185345,0.372643236824875,0.25698250776593,0.496909385564351,0.0193161216235109,0.202377841289237,0.0244141437569714,0.6672,"LAB HOLD",0,0,24,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","Scarborough","Yorkshire and The Humber",0.153263867606497,0.27833282255593,0.255010726325467,0.313392583512105,0.442425088193975,0.285265450094516,0.0502592809658242,0.168496226242246,0.0457853800464711,0.6199,"NOC NO CHANGE",14,16,13,1,14,16,13,1,11,-7,-1,-4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"164","Sedgemoor","South West",0.186913654018524,0.26689572751718,0.262533612190021,0.283657006274275,0.460187264371707,0.134192093610081,0.202108087903956,0.156334070768341,0.0455664605357834,0.612,"CON HOLD",1,28,12,0,1,28,12,0,1,-7,2,-2,0,0,0,7,7,6,0,0,0,0,0,0,0,0,0
"165","Sefton","North West",0.189020438683948,0.331081754735793,0.203838484546361,0.276059322033898,0.220446360125548,0.495002675846508,0.120890406005467,0.124557038922719,0.0283133488580644,0.4813,"LAB HOLD",2,1,16,0,5,6,43,0,2,-3,2,0,0,0,0,4,12,-1,0,0,0,0,0,0,0,0,0
"166","Selby","Yorkshire and The Humber",0.230211030046285,0.297795559739547,0.249117439397505,0.222875970816663,0.525054920081812,0.26831300659041,0.0363608817513825,0.139932580865086,0.0277441102946746,0.5917,"CON HOLD",7,16,8,0,7,16,8,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Sevenoaks","South East",0.324481529981423,0.316776806651034,0.197064287236958,0.161677376130584,0.568954899830649,0.136352926258153,0.0747168099326407,0.176126020318324,0.0436604363174205,0.5438,"CON HOLD",4,46,1,0,4,46,1,0,3,-2,-1,-1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0
"168","Sheffield","Yorkshire and The Humber",0.20776012879303,0.318524459633033,0.196362875525256,0.277352536048681,0.154103757616963,0.47829649843663,0.147026437010612,0.153699519596328,0,0.5099,"LAB HOLD",0,0,13,0,0,0,49,1,0,0,-3,-2,4,8,2,11,26,3,0,0,0,0,0,0,0,0,0
"169","Slough","South East",0.18612941811103,0.295705607805427,0.226094706475596,0.292070267607946,0.351340902197148,0.463959605053792,0.0300179793046146,0.12812682053237,0.0259532027765485,0.5433,"LAB HOLD",0,2,12,0,0,5,37,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Solihull","West Midlands",0.285938151204468,0.314895390514295,0.184612819871635,0.214553638409602,0.519146598126315,0.146104561285877,0.155445046655864,0.142193291240618,0.0354063064573206,0.5616,"CON HOLD",1,8,1,0,2,26,3,0,1,-6,1,-1,5,14,3,2,6,2,0,0,0,0,0,0,0,0,0
"171","South Derbyshire","East Midlands",0.235982894379582,0.291033125169699,0.236661688840619,0.2363222916101,0.493794570741894,0.267818446869706,0.0371734762223711,0.177258579252197,0.0239549269138332,0.6035,"CON HOLD",0,22,14,0,0,22,14,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","South Gloucestershire","South West",0.25850512524866,0.326976926878096,0.230085019576042,0.184432928297201,0.45334577080304,0.213332327361519,0.163495569151417,0.133885703311476,0.0339035364481879,0.5268,"CON HOLD",0,33,11,0,0,33,11,0,0,0,-2,0,0,0,0,17,17,2,0,0,0,0,0,0,0,0,0
"173","South Hams","South West",0.273479502688172,0.301453293010753,0.240465389784946,0.184601814516129,0.54450126009018,0.143401939277385,0.0890707754866211,0.142857219700934,0.0801688054448801,0.4715,"CON HOLD",2,16,0,0,2,16,0,0,2,-9,-1,0,3,3,0,10,10,8,0,0,0,0,0,0,0,0,0
"174","South Holland","East Midlands",0.145732917493621,0.262343553809389,0.276033861233748,0.315889667463243,0.595504704615197,0.124413193244864,0.0297925091958461,0.218180340195501,0.0321092527485927,0.7359,"CON HOLD",13,24,0,0,13,24,0,0,6,-4,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","South Kesteven","East Midlands",0.232112593029254,0.294107533220347,0.233168766732985,0.240611107017415,0.538604382039372,0.16503378281024,0.0573040711849434,0.176925657813384,0,0.5993,"CON HOLD",11,40,3,0,11,40,3,0,5,-5,0,-1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
"176","South Lakeland","North West",0.249668435013263,0.27393899204244,0.264688328912467,0.21170424403183,0.345355833855129,0.121868633063049,0.425670538806431,0.0720452571500292,0.0345102813128769,0.4714,"LD HOLD",0,2,1,0,0,15,3,0,0,-4,0,0,1,1,1,12,32,3,0,0,0,0,0,0,0,0,0
"177","South Norfolk","East",0.249908894682253,0.30448798811426,0.245900260701371,0.199702856502116,0.528295595661465,0.191238619067601,0.0810747684794333,0.144042041947138,0.0552344481507516,0.5169,"CON HOLD",0,35,1,0,0,35,1,0,0,-4,1,0,0,0,0,10,10,3,0,0,0,0,0,0,0,0,0
"178","South Oxfordshire","South East",0.360933412758022,0.300354821164953,0.189583279376344,0.149128486700681,0.568837709545606,0.135945761027703,0.117904276137815,0.113720859523878,0.0635913937649981,0.4502,"CON LOSE TO NOC",3,10,3,0,3,10,3,0,3,-23,2,0,5,5,5,12,12,11,3,3,2,0,0,0,0,0,0
"179","South Ribble","North West",0.226086696024685,0.331565860819029,0.233156586081903,0.209190857074384,0.472221482274695,0.305525580257008,0.0472623713684029,0.147035337969652,0,0.5856,"CON LOSE TO NOC",0,21,22,0,0,21,22,0,0,-6,3,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0
"180","South Somerset","South West",0.209980986562413,0.275694845008439,0.273985771966929,0.240338396462219,0.46245485701353,0.0719368105428997,0.282008796310655,0.124416828490299,0.0570105055274317,0.5725,"LD HOLD",4,15,0,0,4,15,0,0,1,-13,0,0,0,0,0,41,41,12,0,0,0,0,0,0,0,0,0
"181","South Staffordshire","West Midlands",0.246956983184637,0.324035687041889,0.241086531126662,0.187920798646811,0.580016448726869,0.198195237332728,0.0289930301807308,0.161792153605623,0.0264733229412708,0.6485,"CON HOLD",7,35,1,1,7,35,1,1,3,-5,-1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"182","South Tyneside","North East",0.136791769308796,0.285631481979837,0.230194381766618,0.347382366944749,0.16817821924948,0.532710292798229,0.0242443898263477,0.209263183172322,0.0396864971870216,0.6205,"LAB HOLD",4,0,14,0,5,0,48,0,4,0,-5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"183","Southampton","South East",0.188697119127952,0.322034778094991,0.2042953542694,0.284972748507656,0.39721088464333,0.348915986726081,0.0620161750384665,0.128473907979726,0.0498226303981321,0.538,"LAB HOLD",0,7,9,0,1,18,29,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Southend-on-Sea","East",0.199289631565387,0.348743052743936,0.213276160329788,0.238691155360889,0.482755778288632,0.212094118525464,0.0658465089048589,0.18887495300056,0.0484041960949126,0.5808,"CON LOSE TO NOC",5,4,5,0,12,20,14,0,3,-8,2,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0
"185","Spelthorne","South East",0.243633187772926,0.37907423580786,0.213659388646288,0.163633187772926,0.496872389412987,0.185700605146804,0.0644471158744066,0.208520956009699,0.0351270400782412,0.603,"CON HOLD",2,23,4,0,2,23,4,0,2,-12,3,0,2,2,2,8,8,5,0,0,0,0,0,0,0,0,0
"186","St Helens","North West",0.158612712517901,0.28079903058789,0.226398119928028,0.334190136966181,0.179704253950264,0.582826382707916,0.0497777994470201,0.145940098485192,0.0417514654096082,0.5802,"LAB HOLD",1,1,10,0,2,3,37,0,1,0,-4,0,2,2,2,2,4,1,0,0,0,0,0,0,0,0,0
"187","Stafford","West Midlands",0.260348583877996,0.329812028170441,0.197725084865988,0.212114303085575,0.509538713182233,0.257813447200738,0.0377146545091203,0.142361534294938,0.0272188872528926,0.5599,"CON HOLD",7,22,10,0,7,22,10,0,5,-7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"188","Staffordshire Moorlands","West Midlands",0.200915155960739,0.284257221698278,0.274127632819868,0.240699989521115,0.519778633114085,0.255412303751873,0.0439977520887158,0.150153826485383,0.0279606051710072,0.6473,"CON LOSE TO NOC",17,25,13,0,17,25,13,0,7,-10,6,-2,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0
"189","Stockport","North West",0.257981333150772,0.327651126172383,0.196058967161863,0.218308573514981,0.359861950315336,0.285611143277663,0.209424215605569,0.11621410447965,0,0.4767,"NOC NO CHANGE",1,2,8,0,3,8,26,0,0,-5,1,0,0,0,0,10,26,4,0,0,0,0,0,0,0,0,0
"190","Stockton-on-Tees","North East",0.180825386108532,0.294370832981686,0.219596590429572,0.305207190480209,0.386240259171701,0.422587776902198,0.0246256895193065,0.14294939147185,0,0.6173,"LAB LOSE TO NOC",16,14,24,0,16,14,24,0,6,1,-8,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
"191","Stoke-on-Trent","West Midlands",0.107133592736706,0.261033907726515,0.244172688530665,0.387659811006115,0.279422516909607,0.394502767738229,0.0346734334846607,0.227508390947449,0.0298877205221424,0.6936,"NOC NO CHANGE",13,15,16,0,13,15,16,0,-1,8,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Stratford-on-Avon","West Midlands",0.323252126279371,0.303906587862188,0.200634279948104,0.172207005910336,0.57858743583092,0.136274257539706,0.114715059804775,0.126513986106887,0.0410009449956222,0.5156,"CON HOLD",4,20,0,0,4,20,0,0,3,-11,-1,0,1,1,1,11,11,8,0,0,0,0,0,0,0,0,0
"193","Sunderland","North East",0.12854708284247,0.297228671752582,0.222701330191808,0.351522915213139,0.203543588521633,0.533197739728359,0.0245855601320761,0.200820369676958,0.0331211491983525,0.6134,"LAB HOLD",0,5,12,3,0,12,51,3,0,4,-12,3,1,1,1,5,8,4,0,0,0,0,0,0,0,0,0
"194","Surrey Heath","South East",0.361292945720675,0.344419597479162,0.171254319983737,0.123033136816426,0.598592713710937,0.112068490382319,0.0907019896750014,0.142896511179291,0.0440925208061583,0.5098,"CON HOLD",4,18,1,0,4,18,1,0,3,-14,0,0,2,2,2,10,10,9,0,0,0,0,0,0,0,0,0
"195","Swale","South East",0.170799439679536,0.300975645720184,0.254183971885675,0.274040942714605,0.505185590139348,0.188511322359225,0.0391311316623564,0.233516683687179,0.0271453687975861,0.6246,"CON LOSE TO NOC",12,16,11,1,12,16,11,1,10,-16,6,-7,2,2,2,5,5,5,0,0,0,0,0,0,0,0,0
"196","Swindon","South West",0.219309509038708,0.303132168568667,0.215832527808636,0.261725794583989,0.483444165312054,0.31033939214817,0.034687946406581,0.137244470715728,0.0342840254174671,0.5466,"CON HOLD",0,12,7,0,0,31,24,0,0,1,-1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"197","Tameside","North West",0.137418677859391,0.302651276670164,0.24507869884575,0.314851346624694,0.25296252168499,0.480178990534772,0.0270615355750395,0.196876518871264,0.0413793676877405,0.6114,"LAB HOLD",0,1,17,0,0,5,51,0,0,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"198","Tamworth","West Midlands",0.15648033126294,0.298592132505176,0.242608695652174,0.30231884057971,0.500402764234536,0.260821639038453,0.0302497138254123,0.184995972357655,0.0235299105439437,0.6747,"CON HOLD",0,8,1,1,1,22,5,2,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Tandridge","South East",0.324213464140731,0.350346752368065,0.193504736129905,0.131935047361299,0.57414042029838,0.11812202556013,0.0924905976507495,0.170276099317327,0.0384827905816088,0.5284,"CON LOSE TO NOC",4,4,0,0,8,16,0,0,3,-8,0,0,0,0,0,3,11,2,3,7,3,0,0,0,0,0,0
"200","Teignbridge","South West",0.227847388427425,0.306940729269323,0.243643530902436,0.221568351400817,0.489168754026605,0.108150605486633,0.200273592808415,0.136963037973956,0.0602699192679076,0.539,"LD GAIN FROM NOC",9,12,0,0,9,12,0,0,4,-19,0,0,0,0,0,26,26,15,0,0,0,0,0,0,0,0,0
"201","Telford & Wrekin","West Midlands",0.179856398926937,0.283000631213508,0.229446110146757,0.307696859712798,0.444770721760282,0.321200131268282,0.03262369352404,0.174233226057645,0.0271722273897506,0.6322,"LAB HOLD",1,13,36,0,1,13,36,0,0,-10,9,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0
"202","Tendring","East",0.141394260180334,0.286538819586669,0.265207330372104,0.306859589860893,0.422147111411169,0.16450255623686,0.0397938672918308,0.340194732117173,0.0333617329429677,0.695,"CON LOSE TO NOC",17,16,6,5,17,16,6,5,13,-1,3,-14,0,0,0,2,2,1,0,0,-2,0,0,0,0,0,0
"203","Test Valley","South East",0.300175953079179,0.312199413489736,0.204310850439883,0.183313782991202,0.561209542979028,0.125640169180009,0.136774825800169,0.129782604153065,0.0465928578877291,0.5194,"CON HOLD",7,24,0,0,7,24,0,0,7,-11,0,0,0,0,0,12,12,4,0,0,0,0,0,0,0,0,0
"204","Tewkesbury","South West",0.267865224009545,0.33011066770889,0.213518739457769,0.188505368823796,0.541320496946322,0.153245727919073,0.133524843887273,0.131280978160844,0.0406279530864873,0.5325,"CON HOLD",6,23,0,0,6,23,0,0,4,-10,0,0,1,1,1,8,8,5,0,0,0,0,0,0,0,0,0
"205","Thanet","South East",0.158820626696274,0.293831729583025,0.235948679990131,0.31139896373057,0.422378138281875,0.215353545411025,0.0249586725217202,0.298924673202505,0.027365488450172,0.6385,"NOC NO CHANGE",8,25,20,0,8,25,20,0,7,7,16,-33,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"206","Three Rivers","East",0.330996884735203,0.329906542056075,0.189563862928349,0.149532710280374,0.521471875934695,0.197097949463047,0.133063528310778,0.106249351010478,0.0385213109239981,0.5127,"LD HOLD",0,5,1,0,0,12,3,0,0,-5,0,0,0,0,0,8,24,5,0,0,0,0,0,0,0,0,0
"207","Thurrock","East",0.150090933240697,0.318205039131945,0.256390869893945,0.275313157733412,0.363911655391978,0.305344320652319,0.0176670145560919,0.302670201957764,0,0.7228,"NOC NO CHANGE",5,6,6,0,9,22,18,0,5,1,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Tonbridge & Malling","South East",0.278043061790524,0.32628027335373,0.212964286735482,0.182712378120264,0.569521563267657,0.166781157773652,0.0584340902363983,0.164519441121377,0.0391472705030278,0.557,"CON HOLD",3,39,1,0,3,39,1,0,1,-9,1,0,2,2,2,9,9,5,0,0,0,0,0,0,0,0,0
"209","Torbay","South West",0.148369244959135,0.298506315492813,0.244959135046501,0.30816530450155,0.441797860131144,0.0982295141359798,0.269887889137594,0.137541639104207,0.0525430974910748,0.6316,"NOC NO CHANGE",8,15,0,0,8,15,0,0,5,-9,0,-1,0,0,0,13,13,5,0,0,0,0,0,0,0,0,0
"210","Torridge","South West",0.15183531205751,0.250408452238318,0.328177758414116,0.269578477290056,0.508518309062633,0.106302134879118,0.132245864555351,0.183285027569631,0.0696486639332674,0.6083,"CON LOSE TO NOC",18,11,3,0,18,11,3,0,13,-9,2,-6,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
"211","Trafford","North West",0.300758972599803,0.328387862155711,0.167074024841702,0.203779140402784,0.391426986731391,0.405885537839102,0.0561869876411083,0.100342846312546,0.0424727294641778,0.4231,"LAB GAIN FROM NOC",0,4,14,0,0,20,36,0,0,-9,6,0,1,3,1,2,4,2,0,0,0,0,0,0,0,0,0
"212","Tunbridge Wells","South East",0.32573402417962,0.313644214162349,0.185578583765112,0.175043177892919,0.575866101960429,0.139023259251217,0.0974359726578523,0.128730422229161,0.0497229211910106,0.4511,"CON HOLD",6,5,2,0,7,28,4,0,6,-13,2,0,0,0,0,5,9,5,0,0,0,0,0,0,0,0,0
"213","Uttlesford","East",0.325585505965532,0.325806451612903,0.205877154220062,0.142730888201502,0.571999374598266,0.117975088164272,0.105606031652277,0.137848965481299,0.0377673158105033,0.5068,"RA GAIN FROM CON",2,4,0,0,2,4,0,0,1,-19,0,0,0,0,0,7,7,1,26,26,17,0,0,0,0,0,0
"214","Vale of White Horse","South East",0.360664040517726,0.29206527855937,0.190770962296005,0.156499718626899,0.497720010881979,0.144820492569638,0.204287785141179,0.0990935764579015,0.0476808692583939,0.433,"LD GAIN FROM CON",0,6,0,0,0,6,0,0,0,-23,0,0,1,1,1,31,31,22,0,0,0,0,0,0,0,0,0
"215","Wakefield","Yorkshire and The Humber",0.148531281235141,0.270308299934982,0.242768003571117,0.33839241525876,0.272067042035118,0.478441804255987,0.0315374178997237,0.196077735107656,0,0.6636,"LAB HOLD",2,4,14,0,2,11,49,0,2,0,-3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"216","Walsall","West Midlands",0.139517199603037,0.259559989173723,0.257033857892227,0.343888953331013,0.395391915552285,0.363427981763895,0.0240723354225346,0.18957598518105,0.0211795951855329,0.6786,"CON GAIN FROM NOC",0,13,7,0,0,32,26,0,0,2,-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"217","Warwick","West Midlands",0.357128082553837,0.315207648640574,0.154052998092436,0.173611270713153,0.512287312455066,0.287058695050073,0.0657677063257059,0.0919614948960556,0.0396325510471964,0.4122,"CON LOSE TO NOC",0,19,5,0,0,19,5,0,0,-10,-3,0,8,8,6,9,9,7,3,3,0,0,0,0,0,0,0
