"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"12","Bath & North East Somerset","South West",0.298090846734243,0.326804359423824,0.192153799253106,0.182950994588827,0.440306480661803,0.192374614609726,0.183450858288308,0.0923105100888306,0.0858390060746665,0.4215,"LD GAIN FROM CON",6,9,7,0,6,11,5,0,1,-22,-1,0,0,0,-1,37,37,23,0,0,0,0,0,0,0,0,0
"13","Bedford","East",0.245760221643859,0.309335907984216,0.20019309881622,0.244710771555705,0.493873662169907,0.298357204508682,0.050679347987628,0.118327326731393,0.0359002576552376,0.5178,"NOC NO CHANGE",1,11,11,0,1,11,11,0,-1,-4,-3,0,2,2,2,15,15,6,0,0,0,0,0,0,0,0,0
"14","Blaby","East Midlands",0.232448398832895,0.33763192968553,0.2430027736753,0.186916897806275,0.534658481348103,0.219985924035549,0.0728231524845454,0.170433078001108,0,0.5947,"CON HOLD",1,25,6,0,1,25,6,0,1,-4,0,0,1,1,1,6,6,2,0,0,0,0,0,0,0,0,0
"15","Blackburn with Darwen","North West",0.143423794903973,0.264684131501692,0.216009681106156,0.375882392488179,0.33324638463782,0.49642906643775,0.0200579800504704,0.14186750055128,0,0.5634,"LAB HOLD",0,4,12,0,0,13,36,0,0,0,-1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
"16","Blackpool","North West",0.10412330905307,0.306798473812001,0.210479535206382,0.378598681928547,0.387916492376885,0.390469705226769,0.0234500040668828,0.161215425382806,0.024351895076821,0.6746,"LAB HOLD",4,15,23,0,4,15,23,0,4,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Bolsover","East Midlands",0.133860611472552,0.257175660160735,0.258748990092274,0.35021473827444,0.244647483976544,0.512341470066821,0.0332742397381699,0.209736806218464,0,0.7083,"LAB LOSE TO NOC",16,2,18,0,16,2,18,0,11,2,-14,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"18","Bolton","North West",0.173474406634258,0.295361738633114,0.211278238490134,0.319885616242494,0.313107622029214,0.44099021051518,0.0316279415413131,0.192252136069101,0,0.5829,"NOC NO CHANGE",4,6,6,1,8,20,23,3,4,1,-7,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0
"19","Boston","East Midlands",0.113236459709379,0.231651254953765,0.254900924702774,0.400211360634082,0.437965804471723,0.164793834652392,0.0234200143058215,0.337917349269711,0.018459124576017,0.7556,"CON HOLD",11,16,2,1,11,16,2,1,9,3,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Bournemouth, Christchurch & Poole","South West",0.209072009690779,0.35194552210709,0.20010149126684,0.238880976935291,0.487929410338853,0.170785628649477,0.0814579544465251,0.173929306951546,0.07348101182244,0.5488,"NOC",19,36,3,1,19,36,3,1,16,-33,3,1,2,2,2,15,15,11,0,0,0,0,0,0,0,0,0
"21","Bracknell Forest","South East",0.291838800580011,0.342398292796367,0.198052036879976,0.167710869743646,0.575580462082814,0.16052925091381,0.0776464778112816,0.143578783822396,0.0403262280824274,0.5394,"CON HOLD",0,38,3,0,0,38,3,0,0,-3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
